Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sat,2016-01-16,15:00 (16:00),Chelsea,3–3,Everton,41633,Stamford Bridge,Mike Jones,Match Report,
22,Sat,2016-01-16,15:00 (16:00),Southampton,3–0,West Brom,29622,St. Mary's Stadium,Martin Atkinson,Match Report,
22,Sat,2016-01-16,17:30 (18:30),Aston Villa,1–1,Leicester City,32763,Villa Park,Roger East,Match Report,
22,Sun,2016-01-17,14:05 (15:05),Liverpool,0–1,Manchester Utd,43865,Anfield,Mark Clattenburg,Match Report,
22,Sun,2016-01-17,16:15 (17:15),Stoke City,0–0,Arsenal,27683,Bet365 Stadium,Craig Pawson,Match Report,
22,Mon,2016-01-18,20:00 (21:00),Swansea City,1–0,Watford,20430,Liberty Stadium,Michael Oliver,Match Report,
,,,,,,,,,,,
23,Sat,2016-01-23,12:45 (13:45),Norwich City,4–5,Liverpool,27108,Carrow Road,Lee Mason,Match Report,
23,Sat,2016-01-23,15:00 (16:00),West Brom,0–0,Aston Villa,26165,The Hawthorns,Robert Madley,Match Report,
23,Sat,2016-01-23,15:00 (16:00),Watford,2–1,Newcastle Utd,20611,Vicarage Road Stadium,Andre Marriner,Match Report,
23,Sat,2016-01-23,15:00 (16:00),Sunderland,1–1,Bournemouth,41367,Stadium of Light,Roger East,Match Report,
23,Sat,2016-01-23,15:00 (16:00),Manchester Utd,0–1,Southampton,75408,Old Trafford,Mike Jones,Match Report,
23,Sat,2016-01-23,15:00 (16:00),Crystal Palace,1–3,Tottenham,28467,Selhurst Park,Martin Atkinson,Match Report,
23,Sat,2016-01-23,15:00 (16:00),Leicester City,3–0,Stoke City,32018,King Power Stadium,Mike Dean,Match Report,
23,Sat,2016-01-23,17:30 (18:30),West Ham,2–2,Manchester City,34977,Boleyn Ground,Craig Pawson,Match Report,
23,Sun,2016-01-24,13:30 (14:30),Everton,1–2,Swansea City,36908,Goodison Park,Anthony Taylor,Match Report,
23,Sun,2016-01-24,16:00 (17:00),Arsenal,0–1,Chelsea,60072,Emirates Stadium,Mark Clattenburg,Match Report,
,,,,,,,,,,,
24,Tue,2016-02-02,19:45 (20:45),Leicester City,2–0,Liverpool,32121,King Power Stadium,Andre Marriner,Match Report,
24,Tue,2016-02-02,19:45 (20:45),West Ham,2–0,Aston Villa,34914,Boleyn Ground,Jonathan Moss,Match Report,
24,Tue,2016-02-02,19:45 (20:45),Sunderland,0–1,Manchester City,38852,Stadium of Light,Stuart Attwell,Match Report,
24,Tue,2016-02-02,19:45 (20:45),Arsenal,0–0,Southampton,60044,Emirates Stadium,Lee Mason,Match Report,
24,Tue,2016-02-02,19:45 (20:45),Norwich City,0–3,Tottenham,27067,Carrow Road,Kevin Friend,Match Report,
24,Tue,2016-02-02,20:00 (21:00),Manchester Utd,3–0,Stoke City,75234,Old Trafford,Roger East,Match Report,
24,Tue,2016-02-02,20:00 (21:00),West Brom,1–1,Swansea City,22062,The Hawthorns,Niel Swarbrick,Match Report,
24,Tue,2016-02-02,20:00 (21:00),Crystal Palace,1–2,Bournemouth,24855,Selhurst Park,Mike Jones,Match Report,
24,Wed,2016-02-03,19:45 (20:45),Everton,3–0,Newcastle Utd,36061,Goodison Park,Craig Pawson,Match Report,
24,Wed,2016-02-03,19:45 (20:45),Watford,0–0,Chelsea,20910,Vicarage Road Stadium,Mike Dean,Match Report,
,,,,,,,,,,,
25,Sat,2016-02-06,12:45 (13:45),Manchester City,1–3,Leicester City,54693,Etihad Stadium,Anthony Taylor,Match Report,
25,Sat,2016-02-06,15:00 (16:00),Tottenham,1–0,Watford,35997,White Hart Lane,Roger East,Match Report,
25,Sat,2016-02-06,15:00 (16:00),Stoke City,0–3,Everton,27733,Bet365 Stadium,Andre Marriner,Match Report,
25,Sat,2016-02-06,15:00 (16:00),Newcastle Utd,1–0,West Brom,50152,St. James' Park,Lee Mason,Match Report,
25,Sat,2016-02-06,15:00 (16:00),Liverpool,2–2,Sunderland,44179,Anfield,Robert Madley,Match Report,
25,Sat,2016-02-06,15:00 (16:00),Swansea City,1–1,Crystal Palace,20492,Liberty Stadium,Mike Dean,Match Report,
25,Sat,2016-02-06,15:00 (16:00),Aston Villa,2–0,Norwich City,32472,Villa Park,Martin Atkinson,Match Report,
25,Sat,2016-02-06,17:30 (18:30),Southampton,1–0,West Ham,29161,St. Mary's Stadium,Mark Clattenburg,Match Report,
25,Sun,2016-02-07,13:30 (14:30),Bournemouth,0–2,Arsenal,11357,Vitality Stadium,Kevin Friend,Match Report,
25,Sun,2016-02-07,16:00 (17:00),Chelsea,1–1,Manchester Utd,41434,Stamford Bridge,Michael Oliver,Match Report,
,,,,,,,,,,,
26,Sat,2016-02-13,12:45 (13:45),Sunderland,2–1,Manchester Utd,41687,Stadium of Light,Andre Marriner,Match Report,
26,Sat,2016-02-13,15:00 (16:00),Crystal Palace,1–2,Watford,24564,Selhurst Park,Robert Madley,Match Report,
26,Sat,2016-02-13,15:00 (16:00),Bournemouth,1–3,Stoke City,10863,Vitality Stadium,Graham Scott,Match Report,
26,Sat,2016-02-13,15:00 (16:00),Swansea City,0–1,Southampton,20890,Liberty Stadium,Jonathan Moss,Match Report,
26,Sat,2016-02-13,15:00 (16:00),Everton,0–1,West Brom,38103,Goodison Park,Michael Oliver,Match Report,
26,Sat,2016-02-13,15:00 (16:00),Norwich City,2–2,West Ham,27101,Carrow Road,Mike Jones,Match Report,
26,Sat,2016-02-13,17:30 (18:30),Chelsea,5–1,Newcastle Utd,41622,Stamford Bridge,Roger East,Match Report,
26,Sun,2016-02-14,12:00 (13:00),Arsenal,2–1,Leicester City,60009,Emirates Stadium,Martin Atkinson,Match Report,
26,Sun,2016-02-14,14:05 (15:05),Aston Villa,0–6,Liverpool,35798,Villa Park,Niel Swarbrick,Match Report,
26,Sun,2016-02-14,16:15 (17:15),Manchester City,1–2,Tottenham,54551,Etihad Stadium,Mark Clattenburg,Match Report,
,,,,,,,,,,,
27,Sat,2016-02-27,12:45 (13:45),West Ham,1–0,Sunderland,34946,Boleyn Ground,Mike Dean,Match Report,
27,Sat,2016-02-27,15:00 (16:00),Southampton,1–2,Chelsea,31688,St. Mary's Stadium,Martin Atkinson,Match Report,
27,Sat,2016-02-27,15:00 (16:00),Stoke City,2–1,Aston Villa,27703,Bet365 Stadium,Kevin Friend,Match Report,
27,Sat,2016-02-27,15:00 (16:00),Watford,0–0,Bournemouth,20831,Vicarage Road Stadium,Anthony Taylor,Match Report,
27,Sat,2016-02-27,15:00 (16:00),Leicester City,1–0,Norwich City,32114,King Power Stadium,Niel Swarbrick,Match Report,
27,Sat,2016-02-27,17:30 (18:30),West Brom,3–2,Crystal Palace,24806,The Hawthorns,Jonathan Moss,Match Report,
27,Sun,2016-02-28,14:05 (15:05),Tottenham,2–1,Swansea City,35922,White Hart Lane,Mike Jones,Match Report,
27,Sun,2016-02-28,14:05 (15:05),Manchester Utd,3–2,Arsenal,75329,Old Trafford,Craig Pawson,Match Report,
,,,,,,,,,,,
28,Tue,2016-03-01,19:45 (20:45),Sunderland,2–2,Crystal Palace,39795,Stadium of Light,Anthony Taylor,Match Report,
28,Tue,2016-03-01,19:45 (20:45),Leicester City,2–2,West Brom,32018,King Power Stadium,Mark Clattenburg,Match Report,
28,Tue,2016-03-01,19:45 (20:45),Bournemouth,2–0,Southampton,11033,Vitality Stadium,Mike Dean,Match Report,
28,Tue,2016-03-01,19:45 (20:45),Aston Villa,1–3,Everton,29755,Villa Park,Roger East,Match Report,
28,Tue,2016-03-01,19:45 (20:45),Norwich City,1–2,Chelsea,27091,Carrow Road,Lee Mason,Match Report,
28,Wed,2016-03-02,19:45 (20:45),West Ham,1–0,Tottenham,34977,Boleyn Ground,Andre Marriner,Match Report,
28,Wed,2016-03-02,19:45 (20:45),Stoke City,1–0,Newcastle Utd,27331,Bet365 Stadium,Niel Swarbrick,Match Report,
28,Wed,2016-03-02,19:45 (20:45),Arsenal,1–2,Swansea City,59905,Emirates Stadium,Robert Madley,Match Report,
28,Wed,2016-03-02,20:00 (21:00),Manchester Utd,1–0,Watford,75272,Old Trafford,Mike Jones,Match Report,
28,Wed,2016-03-02,20:00 (21:00),Liverpool,3–0,Manchester City,43597,Anfield,Martin Atkinson,Match Report,
,,,,,,,,,,,
29,Sat,2016-03-05,12:45 (13:45),Tottenham,2–2,Arsenal,35762,White Hart Lane,Michael Oliver,Match Report,
29,Sat,2016-03-05,15:00 (16:00),Manchester City,4–0,Aston Villa,53892,Etihad Stadium,Lee Mason,Match Report,
29,Sat,2016-03-05,15:00 (16:00),Southampton,1–1,Sunderland,31458,St. Mary's Stadium,Niel Swarbrick,Match Report,
29,Sat,2016-03-05,15:00 (16:00),Swansea City,1–0,Norwich City,20929,Liberty Stadium,Craig Pawson,Match Report,
29,Sat,2016-03-05,15:00 (16:00),Newcastle Utd,1–3,Bournemouth,52107,St. James' Park,Paul Tierney,Match Report,
29,Sat,2016-03-05,15:00 (16:00),Everton,2–3,West Ham,39000,Goodison Park,Anthony Taylor,Match Report,
29,Sat,2016-03-05,15:00 (16:00),Chelsea,1–1,Stoke City,41381,Stamford Bridge,Mark Clattenburg,Match Report,
29,Sat,2016-03-05,17:30 (18:30),Watford,0–1,Leicester City,20884,Vicarage Road Stadium,Jonathan Moss,Match Report,
29,Sun,2016-03-06,13:30 (14:30),Crystal Palace,1–2,Liverpool,24709,Selhurst Park,Andre Marriner,Match Report,
29,Sun,2016-03-06,16:00 (17:00),West Brom,1–0,Manchester Utd,24878,The Hawthorns,Mike Dean,Match Report,
,,,,,,,,,,,
30,Sat,2016-03-12,12:45 (13:45),Norwich City,0–0,Manchester City,26323,Carrow Road,Jonathan Moss,Match Report,
30,Sat,2016-03-12,15:00 (16:00),Bournemouth,3–2,Swansea City,11179,Vitality Stadium,Roger East,Match Report,
30,Sat,2016-03-12,15:00 (16:00),Stoke City,1–2,Southampton,27833,Bet365 Stadium,Lee Mason,Match Report,
30,Sun,2016-03-13,16:00 (17:00),Aston Villa,0–2,Tottenham,32393,Villa Park,Anthony Taylor,Match Report,
30,Mon,2016-03-14,20:00 (21:00),Leicester City,1–0,Newcastle Utd,31824,King Power Stadium,Craig Pawson,Match Report,
,,,,,,,,,,,
31,Sat,2016-03-19,12:45 (13:45),Everton,0–2,Arsenal,39270,Goodison Park,Mark Clattenburg,Match Report,
31,Sat,2016-03-19,15:00 (16:00),Watford,1–2,Stoke City,20759,Vicarage Road Stadium,Craig Pawson,Match Report,
31,Sat,2016-03-19,15:00 (16:00),Crystal Palace,0–1,Leicester City,25041,Selhurst Park,Mike Jones,Match Report,
31,Sat,2016-03-19,15:00 (16:00),Chelsea,2–2,West Ham,41623,Stamford Bridge,Robert Madley,Match Report,
31,Sat,2016-03-19,15:00 (16:00),West Brom,0–1,Norwich City,25039,The Hawthorns,Anthony Taylor,Match Report,
31,Sat,2016-03-19,17:30 (18:30),Swansea City,1–0,Aston Villa,20454,Liberty Stadium,Mike Dean,Match Report,
31,Sun,2016-03-20,13:30 (14:30),Southampton,3–2,Liverpool,31596,St. Mary's Stadium,Roger East,Match Report,
31,Sun,2016-03-20,13:30 (14:30),Newcastle Utd,1–1,Sunderland,52311,St. James' Park,Martin Atkinson,Match Report,
31,Sun,2016-03-20,16:00 (17:00),Tottenham,3–0,Bournemouth,36084,White Hart Lane,Niel Swarbrick,Match Report,
31,Sun,2016-03-20,16:00 (17:00),Manchester City,0–1,Manchester Utd,54557,Etihad Stadium,Michael Oliver,Match Report,
,,,,,,,,,,,
32,Sat,2016-04-02,12:45 (13:45),Aston Villa,0–4,Chelsea,31120,Villa Park,Niel Swarbrick,Match Report,
32,Sat,2016-04-02,15:00 (16:00),Stoke City,2–2,Swansea City,27649,Bet365 Stadium,Martin Atkinson,Match Report,
32,Sat,2016-04-02,15:00 (16:00),Norwich City,3–2,Newcastle Utd,27137,Carrow Road,Mike Dean,Match Report,
32,Sat,2016-04-02,15:00 (16:00),Arsenal,4–0,Watford,59981,Emirates Stadium,Anthony Taylor,Match Report,
32,Sat,2016-04-02,15:00 (16:00),Sunderland,0–0,West Brom,45144,Stadium of Light,Roger East,Match Report,
32,Sat,2016-04-02,15:00 (16:00),Bournemouth,0–4,Manchester City,11192,Vitality Stadium,Robert Madley,Match Report,
32,Sat,2016-04-02,15:00 (16:00),West Ham,2–2,Crystal Palace,34857,Boleyn Ground,Mark Clattenburg,Match Report,
32,Sat,2016-04-02,17:30 (18:30),Liverpool,1–1,Tottenham,44062,Anfield,Jonathan Moss,Match Report,
32,Sun,2016-04-03,13:30 (14:30),Leicester City,1–0,Southampton,32071,King Power Stadium,Michael Oliver,Match Report,
32,Sun,2016-04-03,16:00 (17:00),Manchester Utd,1–0,Everton,75341,Old Trafford,Andre Marriner,Match Report,
,,,,,,,,,,,
33,Sat,2016-04-09,12:45 (13:45),West Ham,3–3,Arsenal,34977,Boleyn Ground,Craig Pawson,Match Report,
33,Sat,2016-04-09,15:00 (16:00),Watford,1–1,Everton,20663,Vicarage Road Stadium,Kevin Friend,Match Report,
33,Sat,2016-04-09,15:00 (16:00),Aston Villa,1–2,Bournemouth,31057,Villa Park,Martin Atkinson,Match Report,
33,Sat,2016-04-09,15:00 (16:00),Swansea City,1–0,Chelsea,20966,Liberty Stadium,Andre Marriner,Match Report,
33,Sat,2016-04-09,15:00 (16:00),Crystal Palace,1–0,Norwich City,24960,Selhurst Park,Michael Oliver,Match Report,
33,Sat,2016-04-09,15:00 (16:00),Southampton,3–1,Newcastle Utd,31542,St. Mary's Stadium,Robert Madley,Match Report,
33,Sat,2016-04-09,17:30 (18:30),Manchester City,2–1,West Brom,53920,Etihad Stadium,Mike Jones,Match Report,
33,Sun,2016-04-10,13:30 (14:30),Sunderland,0–2,Leicester City,46531,Stadium of Light,Anthony Taylor,Match Report,
33,Sun,2016-04-10,16:00 (17:00),Liverpool,4–1,Stoke City,43688,Anfield,Mark Clattenburg,Match Report,
33,Sun,2016-04-10,16:00 (17:00),Tottenham,3–0,Manchester Utd,35761,White Hart Lane,Mike Dean,Match Report,
,,,,,,,,,,,
35,Wed,2016-04-13,20:00 (21:00),Crystal Palace,0–0,Everton,23528,Selhurst Park,Mike Jones,Match Report,
,,,,,,,,,,,
34,Sat,2016-04-16,12:45 (13:45),Norwich City,0–3,Sunderland,27117,Carrow Road,Andre Marriner,Match Report,
34,Sat,2016-04-16,15:00 (16:00),West Brom,0–1,Watford,25515,The Hawthorns,Michael Oliver,Match Report,
34,Sat,2016-04-16,15:00 (16:00),Newcastle Utd,3–0,Swansea City,48949,St. James' Park,Lee Mason,Match Report,
34,Sat,2016-04-16,15:00 (16:00),Manchester Utd,1–0,Aston Villa,75411,Old Trafford,Kevin Friend,Match Report,
34,Sat,2016-04-16,15:00 (16:00),Everton,1–1,Southampton,36761,Goodison Park,Craig Pawson,Match Report,
34,Sat,2016-04-16,17:30 (18:30),Chelsea,0–3,Manchester City,41212,Stamford Bridge,Mike Dean,Match Report,
34,Sun,2016-04-17,13:30 (14:30),Bournemouth,1–2,Liverpool,11386,Vitality Stadium,Mike Jones,Match Report,
34,Sun,2016-04-17,13:30 (14:30),Leicester City,2–2,West Ham,32104,King Power Stadium,Jonathan Moss,Match Report,
34,Sun,2016-04-17,16:00 (17:00),Arsenal,1–1,Crystal Palace,59961,Emirates Stadium,Roger East,Match Report,
34,Mon,2016-04-18,20:00 (21:00),Stoke City,0–4,Tottenham,27442,Bet365 Stadium,Niel Swarbrick,Match Report,
,,,,,,,,,,,
27,Tue,2016-04-19,19:45 (20:45),Newcastle Utd,1–1,Manchester City,46424,St. James' Park,Kevin Friend,Match Report,
,,,,,,,,,,,
30,Wed,2016-04-20,19:45 (20:45),West Ham,3–1,Watford,34857,Boleyn Ground,Mike Dean,Match Report,
,,,,,,,,,,,
27,Wed,2016-04-20,20:00 (21:00),Liverpool,4–0,Everton,43854,Anfield,Robert Madley,Match Report,
,,,,,,,,,,,
30,Wed,2016-04-20,20:00 (21:00),Manchester Utd,2–0,Crystal Palace,75277,Old Trafford,Lee Mason,Match Report,
30,Thu,2016-04-21,19:45 (20:45),Arsenal,2–0,West Brom,59568,Emirates Stadium,Jonathan Moss,Match Report,
,,,,,,,,,,,
35,Sat,2016-04-23,12:45 (13:45),Manchester City,4–0,Stoke City,53974,Etihad Stadium,Robert Madley,Match Report,
35,Sat,2016-04-23,15:00 (16:00),Aston Villa,2–4,Southampton,29729,Villa Park,Niel Swarbrick,Match Report,
35,Sat,2016-04-23,15:00 (16:00),Bournemouth,1–4,Chelsea,11365,Vitality Stadium,Roger East,Match Report,
35,Sat,2016-04-23,15:00 (16:00),Liverpool,2–2,Newcastle Utd,43837,Anfield,Andre Marriner,Match Report,
35,Sun,2016-04-24,14:05 (15:05),Sunderland,0–0,Arsenal,45420,Stadium of Light,Mike Dean,Match Report,
35,Sun,2016-04-24,16:15 (17:15),Leicester City,4–0,Swansea City,31962,King Power Stadium,Mark Clattenburg,Match Report,
35,Mon,2016-04-25,20:00 (21:00),Tottenham,1–1,West Brom,35923,White Hart Lane,Mike Jones,Match Report,
,,,,,,,,,,,
36,Sat,2016-04-30,15:00 (16:00),Everton,2–1,Bournemouth,38345,Goodison Park,Niel Swarbrick,Match Report,
36,Sat,2016-04-30,15:00 (16:00),Newcastle Utd,1–0,Crystal Palace,52107,St. James' Park,Mike Dean,Match Report,
36,Sat,2016-04-30,15:00 (16:00),Watford,3–2,Aston Villa,20653,Vicarage Road Stadium,Anthony Taylor,Match Report,
36,Sat,2016-04-30,15:00 (16:00),Stoke City,1–1,Sunderland,27667,Bet365 Stadium,Craig Pawson,Match Report,
36,Sat,2016-04-30,15:00 (16:00),West Brom,0–3,West Ham,25031,The Hawthorns,Lee Mason,Match Report,
36,Sat,2016-04-30,17:30 (18:30),Arsenal,1–0,Norwich City,59989,Emirates Stadium,Mike Jones,Match Report,
36,Sun,2016-05-01,12:00 (13:00),Swansea City,3–1,Liverpool,20972,Liberty Stadium,Roger East,Match Report,
36,Sun,2016-05-01,14:05 (15:05),Manchester Utd,1–1,Leicester City,75275,Old Trafford,Michael Oliver,Match Report,
36,Sun,2016-05-01,16:30 (17:30),Southampton,4–2,Manchester City,31472,St. Mary's Stadium,Andre Marriner,Match Report,
36,Mon,2016-05-02,20:00 (21:00),Chelsea,2–2,Tottenham,41545,Stamford Bridge,Mark Clattenburg,Match Report,
,,,,,,,,,,,
37,Sat,2016-05-07,12:45 (13:45),Norwich City,0–1,Manchester Utd,27132,Carrow Road,Craig Pawson,Match Report,
37,Sat,2016-05-07,15:00 (16:00),Sunderland,3–2,Chelsea,47050,Stadium of Light,Mike Jones,Match Report,
37,Sat,2016-05-07,15:00 (16:00),Crystal Palace,2–1,Stoke City,23990,Selhurst Park,Kevin Friend,Match Report,
37,Sat,2016-05-07,15:00 (16:00),Aston Villa,0–0,Newcastle Utd,33055,Villa Park,Robert Madley,Match Report,
37,Sat,2016-05-07,15:00 (16:00),West Ham,1–4,Swansea City,34907,Boleyn Ground,Michael Oliver,Match Report,
37,Sat,2016-05-07,15:00 (16:00),Bournemouth,1–1,West Brom,11040,Vitality Stadium,Mark Clattenburg,Match Report,
37,Sat,2016-05-07,17:30 (18:30),Leicester City,3–1,Everton,32140,King Power Stadium,Andre Marriner,Match Report,
37,Sun,2016-05-08,13:30 (14:30),Tottenham,1–2,Southampton,35748,White Hart Lane,Jonathan Moss,Match Report,
37,Sun,2016-05-08,16:00 (17:00),Liverpool,2–0,Watford,43341,Anfield,Lee Mason,Match Report,
37,Sun,2016-05-08,16:00 (17:00),Manchester City,2–2,Arsenal,54425,Etihad Stadium,Anthony Taylor,Match Report,
,,,,,,,,,,,
35,Tue,2016-05-10,20:30 (21:30),West Ham,3–2,Manchester Utd,34602,Boleyn Ground,Mike Dean,Match Report,
,,,,,,,,,,,
30,Wed,2016-05-11,19:45 (20:45),Sunderland,3–0,Everton,46454,Stadium of Light,Anthony Taylor,Match Report,
,,,,,,,,,,,
35,Wed,2016-05-11,19:45 (20:45),Norwich City,4–2,Watford,26279,Carrow Road,Roger East,Match Report,
,,,,,,,,,,,
30,Wed,2016-05-11,20:00 (21:00),Liverpool,1–1,Chelsea,43210,Anfield,Michael Oliver,Match Report,
,,,,,,,,,,,
38,Sun,2016-05-15,15:00 (16:00),Watford,2–2,Sunderland,21012,Vicarage Road Stadium,Kevin Friend,Match Report,
38,Sun,2016-05-15,15:00 (16:00),Everton,3–0,Norwich City,36691,Goodison Park,Lee Mason,Match Report,
38,Sun,2016-05-15,15:00 (16:00),Arsenal,4–0,Aston Villa,60007,Emirates Stadium,Mark Clattenburg,Match Report,
38,Sun,2016-05-15,15:00 (16:00),Stoke City,2–1,West Ham,27721,Bet365 Stadium,Mike Jones,Match Report,
38,Sun,2016-05-15,15:00 (16:00),Swansea City,1–1,Manchester City,20934,Liberty Stadium,Mike Dean,Match Report,
38,Sun,2016-05-15,15:00 (16:00),West Brom,1–1,Liverpool,26196,The Hawthorns,Robert Madley,Match Report,
38,Sun,2016-05-15,15:00 (16:00),Chelsea,1–1,Leicester City,41494,Stamford Bridge,Craig Pawson,Match Report,
38,Sun,2016-05-15,15:00 (16:00),Southampton,4–1,Crystal Palace,31313,St. Mary's Stadium,Michael Oliver,Match Report,
38,Sun,2016-05-15,15:00 (16:00),Newcastle Utd,5–1,Tottenham,52183,St. James' Park,Anthony Taylor,Match Report,
38,Tue,2016-05-17,20:00 (21:00),Manchester Utd,3–1,Bournemouth,74363,Old Trafford,Jonathan Moss,Match Report,
